Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment
133,146.88750,146.28750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
134,146.90000,146.30000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
135,146.91250,146.31250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
136,146.92500,146.32500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
137,146.93750,146.33750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
138,146.95000,146.35000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
139,146.96250,146.36250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
140,146.97500,146.37500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
141,146.98750,146.38750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
142,147.00000,146.40000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
143,147.01250,145.41250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
144,147.01250,147.61250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
145,147.02500,145.42500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
146,147.02500,147.62500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
147,147.03750,145.43750,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
148,147.03750,147.63750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
149,147.05000,145.45000,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
150,147.05000,147.65000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
151,147.06250,145.46250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
152,147.06250,147.66250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
153,147.07500,145.47500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
154,147.07500,147.67500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
155,147.08750,145.48750,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
156,147.08750,147.68750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
157,147.10000,145.50000,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
158,147.10000,147.70000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
159,147.11250,145.51250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
160,147.11250,147.71250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
161,147.12500,145.52500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
162,147.12500,147.72500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
163,147.13750,145.53750,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
164,147.13750,147.73750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
165,147.15000,145.55000,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
166,147.15000,147.75000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
167,147.16250,145.56250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
168,147.16250,147.76250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
169,147.17500,145.57500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
170,147.17500,147.77500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
171,147.18750,145.58750,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
172,147.18750,147.78750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
173,147.20000,145.60000,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
174,147.20000,147.80000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
175,147.21250,145.61250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
176,147.21250,147.81250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
177,147.22500,145.62500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
178,147.22500,147.82500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
179,147.23750,145.63750,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
180,147.23750,147.83750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
181,147.25000,145.65000,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
182,147.25000,147.85000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
183,147.26250,145.66250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
184,147.26250,147.86250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
185,147.27500,145.67500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
186,147.27500,147.87500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
187,147.28750,145.68750,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
188,147.28750,147.88750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
189,147.30000,145.70000,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
190,147.30000,147.90000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
191,147.31250,145.71250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
192,147.31250,147.91250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
193,147.32500,145.72500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
194,147.32500,147.92500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
