Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
53,,438.237500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
54,,438.250000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
55,,438.250000,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
56,,438.250000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
57,,438.262500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
58,,438.262500,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
59,,438.262500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
60,,438.275000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
61,,438.275000,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
62,,438.275000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
63,,438.287500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
64,,438.287500,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
65,,438.287500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
66,,438.300000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
67,,438.300000,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
68,,438.300000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
69,,438.312500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
70,,438.312500,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
71,,438.312500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
72,,438.325000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
73,,438.325000,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
74,,438.325000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
75,,438.337500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
76,,438.337500,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
77,,438.337500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
78,,438.350000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
79,,438.350000,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
80,,438.350000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
81,,438.362500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
82,,438.362500,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
83,,438.362500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
84,,438.375000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
85,,438.375000,-,5.400000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
86,,438.375000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
87,,438.387500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
88,,438.387500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
89,,438.400000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
90,,438.400000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
91,,438.412500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
92,,438.412500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
93,,438.425000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
94,,438.425000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
95,,438.437500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
96,,438.437500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
97,,438.450000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
98,,438.450000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
99,,438.462500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
100,,438.462500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
101,,438.475000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
102,,438.475000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
103,,438.487500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
104,,438.487500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
105,,438.500000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
106,,438.500000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
107,,438.512500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
108,,438.512500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
109,,438.525000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
110,,438.525000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
111,,438.537500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
112,,438.537500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
113,,438.550000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
114,,438.550000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
115,,438.562500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
116,,438.562500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
117,,438.575000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
118,,438.575000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
119,,438.587500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
120,,438.587500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
121,,438.600000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
122,,438.600000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
